number	id	name	kind	superstarId	artwork_requirement	status	path
SS1-001	superstar-cody-rhodes	Cody Rhodes	superstar	cody-rhodes	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/cody-rhodes.webp
SS1-002	entrance-cody-rhodes	Finish the Story	entrance	cody-rhodes	unique-entrance-photo	pending	
SS1-003	disaster-kick	Disaster Kick	move	cody-rhodes	unique-move-photo	pending	
SS1-004	cody-powerslam	Snap Powerslam	move	cody-rhodes	unique-move-photo	pending	
SS1-005	bionic-elbow	Bionic Elbow	move	cody-rhodes	unique-move-photo	pending	
SS1-006	cody-cutter	Cody Cutter	move	cody-rhodes	unique-move-photo	pending	
SS1-007	cross-rhodes	Cross Rhodes	move	cody-rhodes	unique-move-photo	pending	
SS1-008	superstar-cm-punk	CM Punk	superstar	cm-punk	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/cm-punk.webp
SS1-009	entrance-cm-punk	Best in the World	entrance	cm-punk	unique-entrance-photo	pending	
SS1-010	punk-roundhouse	Roundhouse Kick	move	cm-punk	unique-move-photo	pending	
SS1-011	running-knee	Running Knee	move	cm-punk	unique-move-photo	pending	
SS1-012	punk-neckbreaker	Swinging Neckbreaker	move	cm-punk	unique-move-photo	pending	
SS1-013	diving-elbow	Diving Elbow Drop	move	cm-punk	unique-move-photo	pending	
SS1-014	anaconda-vise	Anaconda Vise	move	cm-punk	unique-move-photo	pending	
SS1-015	gts	G.T.S.	move	cm-punk	unique-move-photo	pending	
SS1-016	superstar-roman-reigns	Roman Reigns	superstar	roman-reigns	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/roman-reigns.webp
SS1-017	entrance-roman-reigns	Acknowledge Me	entrance	roman-reigns	unique-entrance-photo	pending	
SS1-018	drive-by	Drive-By	move	roman-reigns	unique-move-photo	pending	
SS1-019	uranage	Uranage	move	roman-reigns	unique-move-photo	pending	
SS1-020	samoan-drop	Samoan Drop	move	roman-reigns	unique-move-photo	pending	
SS1-021	superman-punch	Superman Punch	move	roman-reigns	unique-move-photo	pending	
SS1-022	guillotine	Guillotine	move	roman-reigns	unique-move-photo	pending	
SS1-023	spear	Spear	move	roman-reigns	unique-move-photo	pending	
SS1-024	superstar-seth-rollins	Seth Rollins	superstar	seth-rollins	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/seth-rollins.webp
SS1-025	entrance-seth-rollins	The Visionary	entrance	seth-rollins	unique-entrance-photo	pending	
SS1-026	sling-blade	Sling Blade	move	seth-rollins	unique-move-photo	pending	
SS1-027	enzuigiri	Enzuigiri	move	seth-rollins	unique-move-photo	pending	
SS1-028	falcon-arrow	Falcon Arrow	move	seth-rollins	unique-move-photo	pending	
SS1-029	pedigree	Pedigree	move	seth-rollins	unique-move-photo	pending	
SS1-030	phoenix-splash	Phoenix Splash	move	seth-rollins	unique-move-photo	pending	
SS1-031	stomp	Stomp	move	seth-rollins	unique-move-photo	pending	
SS1-032	superstar-oba-femi	Oba Femi	superstar	oba-femi	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/oba-femi.webp
SS1-033	entrance-oba-femi	The Ruler Has Arrived	entrance	oba-femi	unique-entrance-photo	pending	
SS1-034	oba-lariat	Ruler's Lariat	move	oba-femi	unique-move-photo	pending	
SS1-035	oba-spinebuster	Spinebuster	move	oba-femi	unique-move-photo	pending	
SS1-036	oba-powerbomb	Powerbomb	move	oba-femi	unique-move-photo	pending	
SS1-037	fall-from-grace	Fall from Grace	move	oba-femi	unique-move-photo	pending	
SS1-038	superstar-brock-lesnar	Brock Lesnar	superstar	brock-lesnar	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/brock-lesnar.webp
SS1-039	entrance-brock-lesnar	Here Comes the Pain	entrance	brock-lesnar	unique-entrance-photo	pending	
SS1-040	german-suplex	German Suplex	move	brock-lesnar	unique-move-photo	pending	
SS1-041	belly-to-belly	Belly-to-Belly Suplex	move	brock-lesnar	unique-move-photo	pending	
SS1-042	kimura-lock	Kimura Lock	move	brock-lesnar	unique-move-photo	pending	
SS1-043	f5	F-5	move	brock-lesnar	unique-move-photo	pending	
SS1-044	superstar-kevin-owens	Kevin Owens	superstar	kevin-owens	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/kevin-owens.webp
SS1-045	entrance-kevin-owens	Fight Owens Fight	entrance	kevin-owens	unique-entrance-photo	pending	
SS1-046	owens-superkick	Superkick	move	kevin-owens	unique-move-photo	pending	
SS1-047	owens-senton	Senton	move	kevin-owens	unique-move-photo	pending	
SS1-048	cannonball	Cannonball	move	kevin-owens	unique-move-photo	pending	
SS1-049	pop-up-powerbomb	Pop-up Powerbomb	move	kevin-owens	unique-move-photo	pending	
SS1-050	ko-stunner	Stunner	move	kevin-owens	unique-move-photo	pending	
SS1-051	superstar-gunther	Gunther	superstar	gunther	unique-superstar-photo	sourced	assets/art/summerslam-series-1/superstars/gunther.webp
SS1-052	entrance-gunther	The Ring General	entrance	gunther	unique-entrance-photo	pending	
SS1-053	gunther-chop	Knife-Edge Chop	move	gunther	unique-move-photo	pending	
SS1-054	gunther-lariat	Lariat	move	gunther	unique-move-photo	pending	
SS1-055	gunther-powerbomb	Powerbomb	move	gunther	unique-move-photo	pending	
SS1-056	sleeper-hold	Sleeper Hold	move	gunther	unique-move-photo	pending	
SS1-057	momentum-agility	Agility Momentum	momentum		graphic-momentum-art	pending	
